s	total_1	het2pq	homo	sample_total_1	sample_het2pq	sample_homo	total_1	het2pq	homo	sample_total_1	sample_het2pq	sample_homo
0	573.4009	0.000968662777777778	0.000471336777777778	531.247619047619	0.000967523809523809	0.000401650793650794	612.506666666667	0.00107541975308642	0.000483134567901235	575.309523809524	0.00107757142857143	0.000420063492063492	
-0.0001	509.4246	0.000879325333333334	0.000409378333333333	475.009523809524	0.000876698412698413	0.000353333333333333	540.535555555556	0.000980659259259259	0.000410562962962963	507.623809523809	0.000978015873015873	0.000357031746031746	
-0.000113809830171	499.485683333333	0.000869338166666667	0.000397807055555556	471.571428571428	0.000874952380952381	0.000348476190476191	528.613333333333	0.00096417037037037	0.000398937037037037	501.309523809524	0.000963571428571429	0.000353730158730159	
-0.0001295267744355	490.906683333333	0.000855282055555556	0.000390536777777778	461.371428571429	0.000853142857142857	0.000342380952380952	520.191851851852	0.000943355555555556	0.000395308641975309	490.719047619048	0.000941380952380952	0.000347174603174603	
-0.0001474142020111	473.397683333333	0.0008312505	0.000373370888888889	444.509523809524	0.000828714285714286	0.000326492063492064	502.677037037037	0.000927617283950617	0.000373986419753086	476.6	0.000929333333333333	0.000329666666666667	
-0.0001677718529567	459.555433333333	0.000818114777777778	0.000356868333333333	431.27619047619	0.000820888888888889	0.000308349206349206	490.384814814815	0.000918322222222222	0.000358146913580247	468.690476190476	0.00092131746031746	0.000320492063492064	
-0.0001909408609248	453.450333333333	0.000802942777777778	0.000354279166666667	428.528571428571	0.000802142857142857	0.000313142857142857	475.222962962963	0.000890024691358025	0.000347025925925926	451.428571428571	0.000890888888888889	0.000306936507936508	
-0.0002173094695456	438.644583333333	0.000784309055555556	0.000338919777777778	413.171428571429	0.000780063492063492	0.000298587301587302	459.933333333333	0.000871693827160494	0.000330708641975309	437.857142857143	0.000872730158730159	0.000293396825396825	
-0.0002473195382353	428.202233333333	0.000776013777777778	0.0003256635	405	0.000775587301587302	0.000287206349206349	449.225185185185	0.000859353086419753	0.000319032098765432	430.671428571429	0.000861634920634921	0.000286968253968254	
-0.0002814739464454	406.37275	0.0007486145	0.000302980666666667	385.442857142857	0.000746777777777778	0.000269015873015873	422.556296296296	0.000819708641975309	0.000294406172839506	405.909523809524	0.000822460317460317	0.000265285714285714	
-0.0003203450204251	385.8393	0.000719822111111111	0.000283154444444444	366.204761904762	0.000718079365079365	0.000251301587301587	400.024444444444	0.000787116049382716	0.000273149382716049	383.809523809524	0.000787492063492063	0.000245936507936508	
-0.0003645841237071	366.917133333333	0.000693100111111111	0.0002649785	349.476190476191	0.000697333333333333	0.000233793650793651	381.324444444445	0.000754234567901235	0.000258423456790123	363.452380952381	0.000754777777777778	0.000228365079365079	
-0.0004149325720215	341.497533333333	0.000662767555555556	0.000237778777777778	326.880952380952	0.000660460317460318	0.000214571428571429	352.754074074074	0.000723064197530864	0.000226391358024691	342.404761904762	0.000720619047619048	0.000210365079365079	
-0.0004722340555418	323.852933333333	0.000630808888888889	0.000224350444444444	307.97619047619	0.000626936507936508	0.000199825396825397	332.188518518519	0.000686159259259259	0.000210567901234568	320.814285714286	0.000684968253968254	0.000192206349206349	
-0.0005374487766218	294.716883333333	0.000595298166666666	0.000193545722222222	283.047619047619	0.00059752380952381	0.000172984126984127	305.145555555556	0.000643613580246914	0.000186769135802469	299.028571428571	0.000649428571428571	0.000173666666666667	
-0.0006116695399294	273.903233333333	0.000560410666666667	0.000176300055555555	262.695238095238	0.000560380952380952	0.000157634920634921	275.575925925926	0.000594455555555556	0.000162065432098765	270.466666666667	0.000597460317460317	0.000152047619047619	
-0.000696140064601499	249.143583333333	0.0005294695	0.000150504555555556	240.466666666667	0.000527079365079365	0.000137238095238095	250.36	0.000559607407407407	0.000137462962962963	245.128571428571	0.000560873015873016	0.000128111111111111	
-0.0007922758252753	224.396783333333	0.000489321166666667	0.000129334055555556	218.57619047619	0.00048684126984127	0.000120873015873016	225.269259259259	0.000518381481481482	0.000116258024691358	220.647619047619	0.000516	0.000109746031746032	
-0.000901687771231701	201.369483333333	0.000452370166666667	0.000109430722222222	195.52380952381	0.000452539682539683	9.96031746031746e-05	198.761851851852	0.000467470370370371	9.75345679012346e-05	195.966666666667	0.00046931746031746	9.19523809523809e-05	
-0.0010262093211115	172.657183333333	0.000410442277777778	8.25408333333333e-05	169.809523809524	0.000408984126984127	7.85238095238095e-05	169.411111111111	0.000421308641975309	7.16975308641975e-05	166.785714285714	0.000419253968253968	6.83492063492064e-05	
-0.0011679270855561	150.829516666667	0.000370572611111111	6.60962222222222e-05	150.085714285714	0.000374031746031746	6.31269841269841e-05	147.941851851852	0.000377240740740741	5.79493827160494e-05	145.719047619048	0.000373253968253968	5.62380952380952e-05	
-0.0013292158325925	129.531833333333	0.000329286444444445	5.12431666666667e-05	128.180952380952	0.000327619047619048	4.98253968253968e-05	125.198518518519	0.000330762962962963	4.32827160493827e-05	124.352380952381	0.000332857142857143	4.08253968253968e-05	
-0.0015127782816797	112.752433333333	0.000297092888888889	3.93742777777778e-05	112.709523809524	0.000296365079365079	3.96666666666667e-05	106.495925925926	0.000289954320987654	3.2516049382716e-05	106.080952380952	0.000288079365079365	3.27619047619048e-05	
-0.0017216903932435	95.9900666666667	0.000260642777777778	2.96620555555555e-05	97.1047619047619	0.000264793650793651	2.94444444444445e-05	91.7933333333333	0.000254427160493827	2.57753086419753e-05	90.9857142857143	0.000253349206349206	2.4968253968254e-05	
