Hello, world!
20:42:34
s	total_1	het2pq	homo	sample_total_1	sample_het2pq	sample_homo	total_1	het2pq	homo	sample_total_1	sample_het2pq	sample_homo
0.001	159.912	0.00072303	0.000438045	143.42857142857142	0.0007314285714285715	0.00035142857142857144	147.03125	0.0006936458333333333	0.00038833333333333336	140.85714285714286	0.0007	0.00035428571428571426
0.0008799225435691	180.8315	0.000793495	0.00050741	152.14285714285714	0.0007471428571428571	0.00038714285714285717	171.95833333333334	0.0007725	0.00047354166666666665	167.42857142857142	0.0007485714285714285	0.00046285714285714284
0.0007742636826811001	158.4855	0.000712805	0.000436025	134.85714285714286	0.0007285714285714286	0.00031	148.28125	0.0006763541666666667	0.00040322916666666664	133.14285714285714	0.0006485714285714286	0.0003414285714285714
0.000681292069058	136.225	0.00062133	0.00037046	110.28571428571429	0.0005371428571428571	0.00028285714285714286	130.47916666666666	0.0005775	0.00036364583333333333	115.57142857142857	0.00059	0.00028285714285714286
0.0005994842503189	156.7835	0.000737355	0.00041524	135	0.0007271428571428572	0.00031142857142857144	149.29166666666666	0.0006929166666666667	0.0004	142.85714285714286	0.0006914285714285715	0.00036857142857142855
0.0005274997063703	172.579	0.00072119	0.0005023	159.57142857142858	0.0007328571428571428	0.00043142857142857143	157.60416666666666	0.000676875	0.00044958333333333336	144.14285714285714	0.0006671428571428571	0.00038714285714285717
0.0004641588833613	174.649	0.00076926	0.000488615	159.28571428571428	0.0007728571428571428	0.00041	154.75	0.0007054166666666667	0.0004210416666666667	151.85714285714286	0.0007214285714285714	0.0003985714285714286
0.0004084238652675	147.794	0.00071549	0.000381225	134.85714285714286	0.0007371428571428571	0.00030571428571428573	143.75	0.000665625	0.0003859375	139.14285714285714	0.0006885714285714286	0.00035142857142857144
0.00035938136638050003	143.6125	0.000694525	0.0003708	124.85714285714286	0.0007	0.00027428571428571427	138.78125	0.0006576041666666667	0.0003651041666666667	117.85714285714286	0.0006557142857142857	0.0002614285714285714
0.0003162277660168	176.569	0.00081206	0.000476815	168.28571428571428	0.0008142857142857143	0.0004342857142857143	177.28125	0.0007857291666666667	0.0004935416666666667	161.28571428571428	0.0008242857142857142	0.00039428571428571426
0.0002782559402207	143.684	0.00070357	0.000366635	125.85714285714286	0.0006757142857142857	0.00029142857142857144	136.73958333333334	0.0006611458333333334	0.000353125	126.71428571428571	0.00067	0.0002985714285714286
0.0002448436746822	155.5565	0.000754805	0.00040038	142.57142857142858	0.0007228571428571428	0.00035142857142857144	149.46875	0.0007146875	0.00039	127.57142857142857	0.0007357142857142857	0.00027
0.0002154434690032	154.0275	0.000726525	0.000406875	146.42857142857142	0.00077	0.0003471428571428571	139.16666666666666	0.0006779166666666666	0.000356875	131.85714285714286	0.00065	0.00033428571428571426
0.00018957356524060002	153.3785	0.000741595	0.000396095	137.14285714285714	0.0007685714285714286	0.0003014285714285714	141.34375	0.0006921875	0.000360625	137.14285714285714	0.0006685714285714285	0.00035142857142857144
0.00016681005372	138.572	0.00068961	0.000348055	136.71428571428572	0.0007157142857142857	0.00032571428571428573	136.90625	0.0006446875	0.0003621875	123.85714285714286	0.0006557142857142857	0.00029142857142857144
0.0001467799267622	172.09	0.0008465	0.0004372	166.71428571428572	0.0008414285714285714	0.00041285714285714287	165.39583333333334	0.000799375	0.00042729166666666664	152	0.0008114285714285715	0.00035428571428571426
0.0001291549665015	163.331	0.00077416	0.000429575	152.28571428571428	0.0008228571428571429	0.00035	161.28125	0.0007457291666666667	0.00043354166666666666	145.71428571428572	0.0007457142857142857	0.0003557142857142857
0.0001136463666386	169.7925	0.000799885	0.00044902	152	0.0008171428571428571	0.00035142857142857144	157.90625	0.0007411458333333333	0.00041895833333333336	144	0.0007457142857142857	0.0003471428571428571
0.0001	165.74	0.00075428	0.00045156	149.71428571428572	0.0007285714285714286	0.0003842857142857143	151.10416666666666	0.0006839583333333333	0.00041354166666666666	143.57142857142858	0.0007071428571428571	0.0003642857142857143
0	146.457	0.00076661	0.00034898	140.57142857142858	0.0007942857142857143	0.00030571428571428573	143.04166666666666	0.0006914583333333333	0.00036947916666666666	126.71428571428571	0.0006642857142857143	0.0003014285714285714
-0.0001	148.85	0.00075278	0.00036786	144.28571428571428	0.0007457142857142857	0.00034857142857142856	149.16666666666666	0.000704375	0.00039364583333333336	137.85714285714286	0.0007128571428571429	0.0003328571428571429
-0.000113809830171	148.133	0.00077526	0.000353035	138	0.0007628571428571428	0.00030857142857142856	143.46875	0.0007438541666666666	0.00034541666666666667	142.14285714285714	0.0007642857142857143	0.00032857142857142856
-0.0001295267744355	144.843	0.00077488	0.000336775	130.28571428571428	0.0007628571428571428	0.00027	136.34375	0.0007071875	0.000328125	128.14285714285714	0.0007042857142857143	0.00028857142857142856
-0.0001474142020111	152.3265	0.000754015	0.000384625	148.42857142857142	0.0007671428571428572	0.0003585714285714286	139.29166666666666	0.000665	0.0003639583333333333	130.42857142857142	0.0007014285714285714	0.0003014285714285714
-0.0001677718529567	120.779	0.00068384	0.000261975	116.14285714285714	0.0006757142857142857	0.00024285714285714286	126.9375	0.00069625	0.0002865625	126.42857142857143	0.0006728571428571429	0.0002957142857142857
-0.00019094086092480002	136.2135	0.000707535	0.0003273	124.71428571428571	0.0007157142857142857	0.00026571428571428574	133.46875	0.0006878125	0.0003234375	115.85714285714286	0.0006642857142857143	0.0002471428571428571
