Hello, world!
14:27:05
s	total_1	het2pq	homo	sample_total_1	sample_het2pq	sample_homo	total_1	het2pq	homo	sample_total_1	sample_het2pq	sample_homo
0.001	357.807	0.0014401	0.001068985	321.57142857142856	0.0013985714285714285	0.0009085714285714286	412.06666666666666	0.0016768888888888888	0.001221888888888889	363.14285714285717	0.0016857142857142856	0.0009728571428571428
0.0008799225435691	347.459	0.00138235	0.00104612	295.14285714285717	0.00132	0.0008157142857142857	379.84444444444443	0.0016102222222222223	0.001094111111111111	334.85714285714283	0.0016742857142857143	0.0008371428571428572
0.0007742636826811001	342.8895	0.001265605	0.001081645	289.57142857142856	0.0012528571428571428	0.0008214285714285715	370.8	0.0015348888888888888	0.0010865555555555555	319.7142857142857	0.0015742857142857143	0.0008114285714285715
0.000681292069058	300.4015	0.001217525	0.000893245	272	0.0012114285714285714	0.0007542857142857143	332.96666666666664	0.0014832222222222221	0.0009232222222222222	298.7142857142857	0.0015214285714285714	0.0007328571428571428
0.0005994842503189	245.219	0.00101488	0.000718655	219	0.0010557142857142857	0.0005671428571428571	262.4222222222222	0.001164	0.0007301111111111111	236.28571428571428	0.0011857142857142858	0.0005885714285714285
0.0005274997063703	281.0115	0.001125535	0.00084229	232.85714285714286	0.0010457142857142857	0.0006414285714285714	316.7111111111111	0.0012953333333333332	0.0009358888888888889	278.2857142857143	0.0012857142857142856	0.0007485714285714285
0.0004641588833613	261.092	0.00114554	0.00073269	222.57142857142858	0.0011057142857142856	0.00056	274.23333333333335	0.0012454444444444444	0.0007484444444444445	256.85714285714283	0.00134	0.0006142857142857142
0.0004084238652675	199.62	0.00096715	0.000514525	180	0.0009657142857142857	0.00041714285714285714	236.7888888888889	0.0011292222222222222	0.0006193333333333333	224.14285714285714	0.0011728571428571428	0.0005342857142857142
0.00035938136638050003	234.7675	0.001005845	0.000670915	213	0.0010557142857142857	0.0005371428571428571	249.0222222222222	0.0011353333333333332	0.0006774444444444445	231.14285714285714	0.0010771428571428572	0.0006171428571428571
0.0003162277660168	197.06	0.00096501	0.000502795	186	0.0009428571428571429	0.0004585714285714286	221.2111111111111	0.0011154444444444445	0.0005483333333333333	201.57142857142858	0.0011014285714285713	0.00045714285714285713
0.0002782559402207	209.5445	0.000884115	0.000605665	186.14285714285714	0.0008728571428571429	0.0004942857142857143	203.3111111111111	0.0010093333333333334	0.0005118888888888889	187.14285714285714	0.0009971428571428572	0.00043714285714285714
0.0002448436746822	195.1375	0.000893045	0.000529165	176.71428571428572	0.00087	0.00044857142857142855	212.32222222222222	0.0010158888888888889	0.0005536666666666667	208.14285714285714	0.0010385714285714286	0.0005214285714285714
0.0002154434690032	200.5545	0.000980545	0.0005125	180.57142857142858	0.0009571428571428571	0.0004242857142857143	219.15555555555557	0.0010704444444444444	0.0005605555555555556	206.42857142857142	0.0010385714285714286	0.0005128571428571428
0.00018957356524060002	169.1485	0.000814845	0.00043832	159	0.0008442857142857143	0.0003728571428571429	201.33333333333334	0.0010053333333333333	0.000504	183.85714285714286	0.001007142857142857	0.0004157142857142857
0.00016681005372	179.46	0.00088001	0.000457295	160.57142857142858	0.0008514285714285714	0.00037714285714285714	180.06666666666666	0.0009395555555555556	0.00043055555555555555	166	0.0009771428571428572	0.0003414285714285714
0.0001467799267622	163.8525	0.000797185	0.00042067	148.57142857142858	0.0007485714285714285	0.00036857142857142855	182.76666666666668	0.000895	0.00046633333333333336	173.85714285714286	0.0008957142857142857	0.0004214285714285714
0.0001291549665015	174.656	0.00083366	0.00045645	162.71428571428572	0.00083	0.0003985714285714286	182.76666666666668	0.0009263333333333334	0.00045066666666666665	175.85714285714286	0.00091	0.0004242857142857143
0.0001136463666386	151.612	0.00076718	0.00037447	141.42857142857142	0.0007285714285714286	0.00034285714285714285	173.43333333333334	0.0009163333333333333	0.000409	160.57142857142858	0.0008971428571428571	0.00035428571428571426
0.0001	154.2045	0.000760415	0.000390815	139.85714285714286	0.0007128571428571429	0.00034285714285714285	179.7888888888889	0.0009065555555555555	0.0004456666666666667	178.57142857142858	0.00096	0.00041285714285714287
0	197.2755	0.000859025	0.000556865	177.85714285714286	0.00089	0.0004442857142857143	190.07777777777778	0.0009156666666666666	0.0004925555555555555	182.85714285714286	0.00094	0.0004442857142857143
-0.0001	144.137	0.00072956	0.000355905	125.28571428571429	0.0006928571428571428	0.00028	144.63333333333333	0.0008198888888888889	0.0003132222222222222	132.28571428571428	0.0008028571428571428	0.00026
-0.000113809830171	158.5015	0.000786605	0.000399205	142.57142857142858	0.0007285714285714286	0.00034857142857142856	156.9	0.0008274444444444445	0.00037077777777777776	153.57142857142858	0.00089	0.00032285714285714285
-0.0001295267744355	127.892	0.00065559	0.000311665	119.42857142857143	0.0006514285714285715	0.00027142857142857144	126.04444444444445	0.0007626666666666667	0.0002488888888888889	118.57142857142857	0.0007457142857142857	0.00022
-0.0001474142020111	133.8525	0.000678645	0.00032994	125.71428571428571	0.0007228571428571428	0.0002671428571428571	145.46666666666667	0.0007628888888888889	0.0003458888888888889	132	0.0007342857142857143	0.0002928571428571429
-0.0001677718529567	137.5965	0.000692675	0.000341645	128.57142857142858	0.0007171428571428572	0.0002842857142857143	145.24444444444444	0.0007595555555555555	0.00034644444444444447	144.85714285714286	0.0007457142857142857	0.00035142857142857144
-0.00019094086092480002	105.9425	0.000605945	0.00022674	100.85714285714286	0.0005885714285714285	0.00021	124.95555555555555	0.0006915555555555556	0.000279	119	0.0006842857142857143	0.00025285714285714283
