s	total_1	het2pq	homo	sample_total_1	sample_het2pq	sample_homo	total_1	het2pq	homo	sample_total_1	sample_het2pq	sample_homo
0	564.839083333333	0.000948873944444444	0.0004669615	527.876190476191	0.000950634920634921	0.00040447619047619	544.891666666667	0.000887057870370371	0.000464623842592593	506.404761904762	0.000887126984126984	0.000400444444444444	
-0.0001	513.2021	0.000881819666666667	0.000414427	480.185714285714	0.00088284126984127	0.000358888888888889	492.444791666667	0.000823149305555555	0.000409166666666667	458.366666666667	0.000821444444444444	0.000353222222222222	
-0.000113809830171	494.78265	0.0008532805	0.0003979975	461.809523809524	0.000850063492063492	0.000344650793650794	474.332291666667	0.000798637731481481	0.000391234953703704	444.242857142857	0.000799253968253968	0.000340777777777778	
-0.0001295267744355	484.8341	0.000847604777777778	0.000384254444444444	455.204761904762	0.000845730158730159	0.000335809523809524	468.597916666667	0.000791023148148148	0.000385484953703704	442.185714285714	0.000794079365079365	0.000339936507936508	
-0.0001474142020111	483.857066666667	0.000850744222222222	0.000381056333333333	454.371428571429	0.000849333333333333	0.000332619047619048	468.112847222222	0.000796232638888889	0.000382071759259259	438.790476190476	0.000793777777777778	0.000334428571428571	
-0.0001677718529567	466.154	0.000829236666666667	0.000362305	440.028571428572	0.000831714285714286	0.000317523809523809	451.437152777778	0.000775778935185185	0.000364505787037037	426.433333333333	0.000774269841269841	0.000323587301587302	
-0.0001909408609248	449.706133333333	0.000799728888888889	0.000349645777777778	421.371428571429	0.000798666666666667	0.000302952380952381	433.486458333333	0.000742077546296296	0.000351438657407407	405.790476190476	0.00074431746031746	0.00030415873015873	
-0.0002173094695456	436.252816666667	0.000786159833333333	0.000334008111111111	411.390476190476	0.000791619047619048	0.00028984126984127	420.172222222222	0.000735805555555556	0.000332384259259259	398.895238095238	0.000733968253968254	0.00029784126984127	
-0.0002473195382353	427.33735	0.000776727944444444	0.000323864944444444	405.609523809524	0.000778507936507937	0.000286761904761905	414.184027777778	0.00072825462962963	0.000326179398148148	390.704761904762	0.000728984126984127	0.00028668253968254	
-0.0002814739464454	409.990183333333	0.0007497145	0.000308459722222222	385.866666666667	0.000747746031746032	0.000269238095238095	396.375694444445	0.000702756944444445	0.000309247685185185	375.495238095238	0.000702063492063492	0.000274793650793651	
-0.0003203450204251	389.337066666667	0.000725759777777778	0.000286015222222222	368.247619047619	0.000721396825396825	0.000253047619047619	379.883333333333	0.00068037037037037	0.000292953703703704	360.490476190476	0.000682301587301587	0.000259666666666667	
-0.0003645841237071	361.80385	0.000685341388888889	0.000260335722222222	343.461904761905	0.000685761904761905	0.000229555555555556	351.675694444444	0.000643083333333333	0.000264584490740741	333.47619047619	0.000639269841269841	0.00023615873015873	
-0.0004149325720215	343.1716	0.000663045111111111	0.000240430111111111	325.704761904762	0.000658190476190476	0.000213746031746032	333.051388888889	0.000618541666666667	0.000245814814814815	319.67619047619	0.000617333333333333	0.000224126984126984	
-0.0004722340555418	318.623583333333	0.000624074833333333	0.000219001888888889	303.523809523809	0.000625365079365079	0.000193190476190476	308.730555555556	0.000581168981481482	0.000223966435185185	295.214285714286	0.000580365079365079	0.00020184126984127	
-0.0005374487766218	297.222183333333	0.000596848388888889	0.000196946111111111	284.114285714286	0.00059552380952381	0.000175761904761905	290.287847222222	0.000558709490740741	0.000204458333333333	280.338095238095	0.000561190476190476	0.000186634920634921	
-0.0006116695399294	275.070566666667	0.000571713777777778	0.000172594055555556	263.814285714286	0.000566396825396825	0.000156492063492063	272.255555555556	0.00053644212962963	0.000185538194444444	262.114285714286	0.000530888888888889	0.000171412698412698	
-0.000696140064601499	249.177883333333	0.000531812833333333	0.000149390055555556	242.452380952381	0.000528206349206349	0.000139984126984127	245.053472222222	0.000493875	0.000161484953703704	238.419047619048	0.00049568253968254	0.000149523809523809	
-0.0007922758252753	222.320283333333	0.0004874185	0.000126824555555556	215.957142857143	0.000485888888888889	0.000116984126984127	218.657986111111	0.000454677083333333	0.000137091435185185	211.509523809524	0.000454555555555556	0.000125238095238095	
-0.000901687771231701	197.5937	0.000445739666666667	0.000106453	191.990476190476	0.000443492063492063	9.82380952380953e-05	193.310763888889	0.000413380787037037	0.000115494212962963	189.538095238095	0.000413380952380952	0.000109206349206349	
-0.0010262093211115	172.466216666667	0.0004059895	8.44489444444445e-05	169.438095238095	0.000407142857142857	7.88253968253968e-05	171.912152777778	0.00038309375	9.49733796296296e-05	168.047619047619	0.000381365079365079	8.93968253968254e-05	
-0.0011679270855561	149.998433333333	0.000366036333333333	6.69792222222222e-05	148.252380952381	0.000366301587301587	6.39365079365079e-05	149.891666666667	0.000343231481481481	7.82037037037037e-05	147.280952380952	0.000342777777777778	7.40793650793651e-05	
-0.0013292158325925	128.69425	0.000331144388888889	4.89182222222222e-05	128.871428571429	0.00033315873015873	4.82063492063492e-05	129.430902777778	0.000313431712962963	5.90023148148148e-05	128.052380952381	0.000313666666666667	5.65873015873016e-05	
-0.0015127782816797	108.889233333333	0.000289335666666667	3.68142222222222e-05	109.809523809524	0.000293650793650794	3.61904761904762e-05	109.547222222222	0.000274231481481481	4.5462962962963e-05	108.542857142857	0.000274476190476191	4.36666666666667e-05	
-0.0017216903932435	96.3596	0.000263091111111111	2.90537777777778e-05	95.8476190476191	0.000261365079365079	2.90634920634921e-05	97.0524305555556	0.000247355324074074	3.80763888888889e-05	97.1952380952381	0.000249920634920635	3.7031746031746e-05	
