mu sigma alpha beta het how
-0.0115137436 0.0000582511 -2.0 5000 0.000389711609 rai
-0.0115137436 0.0000582511 -2.0 7000 0.000389550549 rai
-0.0115137436 0.0000582511 -4.0 0 0.000004150442 rai
-0.0115137436 0.0000582511 -4.0 1000 0.000389155800 rai
-0.0115137436 0.0000582511 -4.0 3000 0.000389789225 rai
-0.0115137436 0.0000582511 -4.0 5000 0.000388676440 rai
-0.0115137436 0.0000582511 -4.0 7000 0.000388644209 rai
-0.0115137436 0.0000781367 0.0 0 0.000004193348 rai
-0.0115137436 0.0000781367 0.0 1000 0.000389087500 rai
-0.0115137436 0.0000781367 0.0 3000 0.000391125707 rai
-0.0115137436 0.0000781367 0.0 5000 0.000391041584 rai
-0.0115137436 0.0000781367 0.0 7000 0.000390423304 rai
-0.0115137436 0.0000781367 -2.0 0 0.000004130009 rai
-0.0115137436 0.0000781367 -2.0 1000 0.000389747387 rai
-0.0115137436 0.0000781367 -2.0 3000 0.000388917552 rai
-0.0115137436 0.0000781367 -2.0 5000 0.000389459563 rai
-0.0115137436 0.0000781367 -2.0 7000 0.000389134561 rai
-0.0115137436 0.0000781367 -4.0 0 0.000004161488 rai
-0.0115137436 0.0000781367 -4.0 1000 0.000388167176 rai
-0.0115137436 0.0000781367 -4.0 3000 0.000387143421 rai
-0.0115137436 0.0000781367 -4.0 5000 0.000389743080 rai
-0.0115137436 0.0000781367 -4.0 7000 0.000388292033 rai
-0.0115137436 0.0001048107 0.0 0 0.000004174005 rai
-0.0115137436 0.0001048107 0.0 1000 0.000389585413 rai
-0.0115137436 0.0001048107 0.0 3000 0.000390045134 rai
-0.0115137436 0.0001048107 0.0 5000 0.000389483836 rai
-0.0115137436 0.0001048107 0.0 7000 0.000388655175 rai
-0.0115137436 0.0001048107 -2.0 0 0.000004154118 rai
-0.0115137436 0.0001048107 -2.0 1000 0.000388180837 rai
-0.0115137436 0.0001048107 -2.0 3000 0.000388735717 rai
-0.0115137436 0.0001048107 -2.0 5000 0.000388928196 rai
-0.0115137436 0.0001048107 -2.0 7000 0.000388382817 rai
-0.0115137436 0.0001048107 -4.0 0 0.000004140672 rai
-0.0115137436 0.0001048107 -4.0 1000 0.000388918969 rai
-0.0115137436 0.0001048107 -4.0 3000 0.000389377776 rai
-0.0115137436 0.0001048107 -4.0 5000 0.000388515505 rai
-0.0115137436 0.0001048107 -4.0 7000 0.000388023072 rai
-0.0115137436 0.0001405906 0.0 0 0.000004159710 rai
-0.0115137436 0.0001405906 0.0 1000 0.000389276383 rai
-0.0115137436 0.0001405906 0.0 3000 0.000389690536 rai
-0.0115137436 0.0001405906 0.0 5000 0.000389523744 rai
-0.0115137436 0.0001405906 0.0 7000 0.000389853019 rai
-0.0115137436 0.0001405906 -2.0 0 0.000004124135 rai
-0.0115137436 0.0001405906 -2.0 1000 0.000388866481 rai
-0.0115137436 0.0001405906 -2.0 3000 0.000387978874 rai
-0.0115137436 0.0001405906 -2.0 5000 0.000389438877 rai
-0.0115137436 0.0001405906 -2.0 7000 0.000389907722 rai
-0.0115137436 0.0001405906 -4.0 0 0.000004150390 rai
-0.0115137436 0.0001405906 -4.0 1000 0.000388323064 rai
-0.0115137436 0.0001405906 -4.0 3000 0.000387182955 rai
-0.0115137436 0.0001405906 -4.0 5000 0.000387539078 rai
-0.0115137436 0.0001405906 -4.0 7000 0.000387311312 rai
-0.0115137436 0.0001885849 0.0 0 0.000004197781 rai
-0.0115137436 0.0001885849 0.0 1000 0.000389288119 rai
-0.0115137436 0.0001885849 0.0 3000 0.000389876333 rai
-0.0115137436 0.0001885849 0.0 5000 0.000390653413 rai
-0.0115137436 0.0001885849 0.0 7000 0.000389221956 rai
